ID,Название,Проект,Окружение,Серьезность,Приоритет,Предусловия,Шаги воспроизведения,Фактический результат,Ожидаемый результат,Вложения
1,Невозможность изменить язык интерфейса,,"Mac OS, Chrome, Prod",Trivial,Trivial,1. Открыт сайт itqc.ru.,1. В правом верхнем углу нажать иконку смены языка,Язык интерфейса после смены на английский частично остается на русском. Также возможности выбора языка по желанию пользователя отсутствует,Язык интерфейса должен меняться на всем сайте и должна быть возможность выбора языка,
2,Несоответствующие размеры иконок в заголовке веб-сайта,,"Mac OS, Chrome, Prod",Medium,Medium,1. Открыт сайт itqc.ru.,1. Прокрутить вверх до шапки сайта,Иконка смены языка в шапке сайта имеет не соответствует размерам других иконок,Все значки в заголовке должны иметь одинаковые размеры пикселя или как указано в ТЗ,
